REF_AREA;REF_AREA_LABEL;OBS_VALUE
AFG;Afghanistan;1.841.864.682.399.530
AGO;Angola;3.963.588.517.512.330
ALB;Albania;865.063.381.552.001
AND;Andorra;764.950.525.840.838
ARG;Argentina;5.152.505.285.657.580
ARM;Armenia;5.395.888.850.458.850
ATG;Antigua and Barbuda;1.820.065.843.745.650
AUS;Australia;96.242.934.043.114
AUT;Austria;8.914.274.061.773.780
AZE;Azerbaijan;9.392.429.558.417.420
BDI;Burundi;16.769.340.071.653.200
BEL;Belgium;968.196.812.009.602
BEN;Benin;9.154.137.863.589.430
BFA;Burkina Faso;7.039.149.815.080.220
BGD;Bangladesh;9.696.343.053.706.800
BGR;Bulgaria;745.567.177.422.081
BHR;Bahrain;979.381.267.281.106
BHS;Bahamas, The;3.399.999.919.015.120
BIH;Bosnia and Herzegovina;3.360.863.583.830.940
BLR;Belarus;6.152.725.004.883.580
BLZ;Belize;3.235.040.074.137.100
BOL;Bolivia;43.151.737.282.798.100
BRA;Brazil;9.654.474.288.838.910
BRB;Barbados;3.660.552.084.246.500
BRN;Brunei Darussalam;703.977.940.062.542
BTN;Bhutan;60.766.334.172.994.500
BWA;Botswana;7.875.539.967.322.070
CAF;Central African Republic;4.757.965.714.285.710
CAN;Canada;9.317.791.701.114.760
CHE;Switzerland;912.546.970.311.536
CHL;Chile;7.023.913.967.998.110
CHN;China;9.172.678.294.040.130
CIV;Cote d'Ivoire;7.894.954.789.129.310
CMR;Cameroon;6.553.357.883.958.370
COD;Congo, Dem. Rep.;5.675.251.591.628.690
COG;Congo, Rep.;2.760.254.392.958.010
COL;Colombia;657.267.643.198.041
COM;Comoros;392.239.122.224.369
CPV;Cabo Verde;5.154.265.774.004.790
CRI;Costa Rica;7.507.487.056.519.420
CUB;Cuba;7.288.548.221.602.070
CYP;Cyprus;9.801.340.647.631.350
CZE;Czechia;879.340.356.656.817
DEU;Germany;97.854.300.927.576
DJI;Djibouti;31.484.022.357.656.500
DMA;Dominica;2.284.162.284.367.550
DOM;Dominican Republic;7.582.809.909.605.490
DZA;Algeria;6.602.384.612.558.040
ECU;Ecuador;8.711.004.070.959.460
ERI;Eritrea;2.205.290.765.412.000
ESP;Spain;9.974.051.696.149.840
EST;Estonia;9.503.706.868.563.630
ETH;Ethiopia;765.073.349.233.127
FJI;Fiji;53.831.800.962.259.700
FRA;France;989.776.674.861.618
FSM;Micronesia, Fed. Sts.;8.772.607.181.925.230
GAB;Gabon;3.984.907.094.246.230
GEO;Georgia;920.763.826.471.768
GHA;Ghana;9.927.215.234.131.110
GIN;Guinea;5.654.986.823.042.770
GMB;Gambia, The;6.173.254.081.821.930
GNB;Guinea-Bissau;6.431.647.300.855.820
GNQ;Equatorial Guinea;25.442.942.902.276.100
