hora,dia1,dia2
00:00,Sono,Sono
00:30,Sono,Sono
01:00,Sono,Sono
01:30,Sono,Sono
02:00,Sono,Sono
02:30,Sono,Sono
03:00,Sono,Sono
03:30,Sono,Sono
04:00,Sono,Sono
04:30,Sono,Sono
05:00,Sono,Sono
05:30,Sono,Sono
06:00,Sono,Sono
06:30,Sono,Sono
07:00,Sono,Sono
07:30,Sono,Sono
08:00,Trabalho,Trabalho
08:30,Trabalho,Trabalho
09:00,Trabalho,Trabalho
09:30,Trabalho,Trabalho
10:00,Trabalho,Trabalho
10:30,Trabalho,Trabalho
11:00,Trabalho,Trabalho
11:30,Trabalho,Trabalho
12:00,almoço,mercado
12:30,cochilo,mercado
13:00,Trabalho,Trabalho
13:30,Trabalho,Trabalho
14:00,Trabalho,Trabalho
14:30,Trabalho,Trabalho
15:00,Trabalho,Trabalho
15:30,Trabalho,Trabalho
16:00,Trabalho,Trabalho
16:30,Trabalho,Trabalho
17:00,Trabalho,Trabalho
17:30,Trabalho,Trabalho
18:00,Trabalho,Alimentação
18:30,Transporte,Transporte
19:00,Estudo,Estudo
19:30,Estudo,Estudo
20:00,Estudo,Estudo
20:30,Estudo,Estudo
21:00,Estudo,Transporte
21:30,Estudo,Lazer
22:00,Estudo,Lazer
22:30,Estudo,Lazer
23:00,Transporte,Lazer
23:30,Lazer,Lazer
